x,Curve1,Curve2,Curve3,Curve4
63.4812,-0.6974,1.2809,,
63.4871,-0.6999,1.2737,,
63.5043,-0.7074,0.6204,,
63.669,-0.7738,0.2529,,
64.0709,-0.885,-0.2827,,
64.2098,-0.886,-0.3331,,
64.3359,-0.8174,-0.3935,,
64.4735,-0.6092,-0.8798,,
64.6003,-0.4427,-0.9904,,
64.6509,-0.3917,-1.0152,,
64.8297,-0.241,-1.2738,,
65.3847,0.1482,-1.4817,,
65.4473,0.1972,-1.4585,,
65.5731,0.3402,-0.9291,,
65.6011,0.4437,-0.8937,,
65.7733,0.7515,-0.8476,,
65.8789,0.8226,-0.769,,
65.9594,0.8677,-0.1288,,
66.2536,1.0347,-0.0346,,
66.3098,1.0822,-0.018,,
66.5162,1.1393,0.2474,,
66.5698,1.1003,0.3083,,
66.832,0.8395,0.4376,,
66.8691,0.7956,1.0347,,
66.9612,0.6715,1.2986,,
67.0518,0.4376,1.4792,,
67.3009,0.2334,1.7057,,
67.407,0.1421,1.4857,,
67.5744,-0.0767,0.8623,,
67.6304,-0.1719,0.7711,,
67.8976,-0.4674,0.5547,,
68.0634,-0.5672,0.4006,,
68.2032,-0.6337,-0.2827,,
68.3398,-0.689,-0.4074,,
68.5139,-0.748,-0.5412,,
68.6929,-0.8059,-0.8982,,
68.8275,-0.8463,-1.0399,,
69.0407,-0.793,-0.4735,,
69.0879,-0.7567,-0.6575,,
69.2269,-0.6082,-1.3661,,
69.52,-0.1103,-1.895,,
69.6046,0.179,-1.9618,,
69.7176,0.2748,-1.9817,,
69.973,0.4676,-1.2615,,
70.3163,0.7075,-0.5351,,
70.3456,0.7269,-0.4953,,
70.5639,0.8562,-0.2406,,
70.7066,0.9595,-0.0795,,
71.0521,1.151,0.456,,
71.0879,1.1578,0.6051,,
71.1815,1.1331,0.6715,,
71.3556,0.8192,0.6063,,
71.7127,0.3514,0.572,,
71.7539,0.28,0.5915,,
71.8926,0.0066,0.7286,,
72.2323,-0.3184,1.0347,,
72.2927,-0.3812,1.0099,,
72.5162,-0.6951,0.7879,,
72.7812,-0.8059,0.3559,,
72.8125,-0.8213,0.2898,,
72.9487,-0.8925,-0.0857,,
73.2667,-0.966,-0.3487,,
73.481,-0.753,-0.492,,
73.6137,-0.5659,-0.5734,,
73.9246,-0.3036,-0.8367,,
73.9617,-0.2457,-1.1719,,
74.0177,-0.1049,-1.2799,,
74.2191,0.296,-1.4547,,
74.6361,0.3682,-1.5385,,
74.7884,0.4868,-1.1911,,
74.8478,0.5981,-0.8429,,
75.0842,1.5149,-0.4094,,
75.1495,1.6289,-0.3196,,
75.3625,1.6702,0.2652,,
75.4343,1.6503,0.6148,,
75.6194,1.6135,0.8562,,
75.7435,1.521,0.7271,,
76.0583,0.9177,0.2614,,
76.1548,0.6416,0.179,,
76.2393,0.4745,0.2097,,
76.5431,0.2202,0.8069,,
76.6385,0.1667,0.8982,,
77.1694,-0.1226,1.0314,,
77.3322,-0.2941,0.9978,,
77.4368,-0.4366,0.955,,
77.7478,-0.7198,0.6903,,
77.8204,-0.7905,0.5976,,
78.0438,-0.994,0.2898,,
78.1916,-1.0768,0.1108,,
78.2217,-1.0844,0.1175,,
78.4384,-1.0388,0.3822,,
78.5419,-0.9598,0.3187,,
78.6163,-0.8872,0.2036,,
78.7167,-0.8675,0.0735,,
78.9286,-0.9343,-0.1903,,
79.0188,-0.9378,-0.3812,,
79.1129,-0.9167,-0.4797,,
79.2413,-0.846,-0.6213,,
79.5539,-0.5392,-1.0399,,
79.6349,-0.4366,-1.1159,,
79.9985,0.0466,-1.4646,,
80.068,0.1175,-1.5677,,
80.31,0.319,-1.7909,,
80.5633,0.5043,-0.8921,,
80.7216,0.6222,-0.5944,,
80.9515,0.809,-0.2519,,
81.2012,0.9608,0.3264,,
81.2521,0.9681,0.3637,,
81.6079,0.8462,0.0128,,
81.6423,0.8315,0.0165,,
82.041,0.6807,0.5668,,
82.1222,0.6474,1.1517,,
82.2607,0.5792,1.4973,,
82.5102,0.3499,1.8042,,
82.5718,0.2898,1.7443,,
82.8255,0.1194,1.1578,,
82.9263,0.0436,1.0682,,
83.0609,-0.1903,0.9891,,
83.2391,-0.3873,0.9093,,
83.5339,-0.6738,0.7207,,
83.542,-0.6783,0.7084,,
83.5502,-0.6828,0.6939,,
83.8515,-0.811,-0.1288,,
84.1131,-0.8804,0.0559,,
84.1179,-0.8812,-0.3566,,
84.3,-0.8921,-0.4841,,
