x,Curve1,Curve2,Curve3,Curve4
39.5865,0.4836,0.3824,0.4941,0.8387
39.6143,0.4538,0.3679,0.4618,0.8658
39.7146,0.3687,0.2958,0.3163,0.9601
39.7283,0.3608,0.2921,0.2846,0.9727
39.7381,0.356,0.29,0.2594,0.9818
39.7433,0.3537,0.289,0.2453,0.9866
39.8447,0.3499,0.2827,-0.0723,1.0813
39.889,0.373,0.2835,-0.3178,1.1242
39.9545,0.426,0.2864,-0.6387,1.192
39.998,0.4628,0.2888,-0.7696,1.2431
