x,Curve1,Curve2,Curve3,Curve4
20.703,0.8157,0.645,0.8301,0.6496
20.748,0.7949,0.6684,0.8099,0.6789
21.137,0.6089,0.8237,0.5054,0.9061
21.175,0.5925,0.8353,0.4702,0.9225
21.176,0.592,0.8357,0.469,0.9231
21.431,0.4935,0.8982,0.2266,0.9996
21.476,0.4382,0.9065,0.1233,1.0071
21.557,0.0459,0.9189,-0.1195,1.0147
21.558,0.0408,0.9191,-0.1235,1.0148
21.612,-0.0686,0.9254,-0.2225,1.0151
21.697,-0.1851,0.9318,-0.3261,1.0056
21.77,-0.2861,0.9327,-0.3933,0.9861
21.812,-0.3575,0.9308,-0.4272,0.9702
21.981,-0.6515,0.8977,-0.5519,0.8759
22.041,-0.7104,0.8727,-0.5943,0.8357
22.282,-0.8195,0.6568,-0.7861,0.649
22.297,-0.8231,0.637,-0.8005,0.6356
22.367,-0.8373,0.5407,-0.8688,0.5702
22.51,-0.8575,0.3208,-0.9816,0.3934
22.549,-0.8612,0.2536,-1.0003,0.0601
22.678,-0.868,0.0024,-1.0248,-0.0766
22.796,-0.8658,-0.3323,-1.0104,-0.1959
22.803,-0.8654,-0.3437,-1.0087,-0.2044
22.847,-0.8619,-0.4024,-0.9965,-0.2604
23.013,-0.8309,-0.5633,-0.9323,-0.5301
23.143,-0.7767,-0.6569,-0.8691,-0.4777
23.144,-0.7759,-0.6578,-0.8684,-0.4779
23.146,-0.7749,-0.659,-0.8674,-0.4783
23.49,-0.5488,-0.8106,-0.6693,-0.6683
23.573,-0.5072,-0.8436,-0.6173,-0.7211
23.836,-0.3961,-0.9527,-0.4462,-0.8791
24.01,-0.2987,-1.0138,-0.3291,-0.9672
24.174,-0.0546,-1.0527,-0.2129,-1.0295
24.228,0.009,-1.0595,-0.1722,-1.0437
24.26,0.0323,-1.0615,-0.1477,-1.0504
24.488,0.1208,-1.0294,0.426,-1.0624
24.491,0.1218,-1.0282,0.4321,-1.0621
24.618,0.1565,-0.9764,0.5525,-1.0396
24.779,0.2391,-0.8884,0.6577,-0.9777
24.834,0.2847,-0.8583,0.691,-0.9463
24.951,0.3855,-0.7954,0.7609,-0.8563
24.969,0.4034,-0.785,0.7719,-0.8383
25.04,0.5015,-0.7378,0.8212,-0.6063
25.052,0.5283,-0.7289,0.8304,-0.5785
25.126,0.7921,-0.6704,0.8805,-0.461
25.185,0.8681,-0.6172,0.9027,-0.3856
25.229,0.9006,-0.5754,0.913,-0.3367
25.346,0.9549,-0.4498,0.9318,-0.2281
25.562,0.9901,-0.1126,0.949,0.3387
25.563,0.9901,-0.111,0.949,0.3402
25.567,0.9901,-0.1004,0.9491,0.3489
25.746,0.9643,0.4548,0.9408,0.5536
25.784,0.9513,0.5028,0.9334,0.5851
25.789,0.9495,0.5077,0.9322,0.5888
26.002,0.8249,0.6471,0.7143,0.7425
26.046,0.79,0.6651,0.6737,0.772
26.216,0.631,0.719,0.5732,0.8853
26.302,0.5413,0.7384,0.5344,0.9292
26.344,0.4114,0.7465,0.5156,0.9438
26.349,0.4008,0.7474,0.5136,0.9451
26.385,0.3297,0.7535,0.4976,0.9538
26.476,0.2144,0.7657,0.4551,0.9687
26.644,0.0989,0.7779,0.3362,0.9924
26.684,0.0798,0.7795,0.2853,0.9988
26.781,0.0405,0.7839,0.1261,1.0157
26.814,0.0278,0.7868,0.0798,1.022
26.908,-0.009,1.0915,-0.0104,1.0396
26.911,-0.0102,1.0926,-0.0136,1.0401
26.983,-0.0416,1.105,-0.1446,1.0517
27.108,-0.1085,1.0982,-0.6061,1.0636
27.196,-0.1752,1.083,-0.433,1.0629
27.241,-0.2215,1.0726,-0.4958,1.0584
27.406,-0.5951,1.0198,-0.856,1.0056
27.408,-0.6066,1.0191,-0.8592,1.0046
27.411,-0.465,1.0181,-0.863,1.0033
27.512,-0.5018,0.9718,-0.9637,0.9196
27.598,-0.5527,0.9196,-0.988,0.7823
27.719,-0.6321,0.809,-0.9959,0.3311
27.723,-0.6348,0.8042,-0.996,0.2927
27.792,-0.6811,0.7047,-0.997,0.4917
27.936,-0.7715,0.362,-0.9976,0.3598
28.01,-0.8111,0.1837,-0.9966,0.279
28.104,-0.8489,-0.0675,-0.9933,0.1671
28.187,-0.8658,-0.3688,-0.9881,0.0616
28.404,-0.832,-0.5188,-0.9622,-0.2534
28.444,-0.8177,-0.5417,-0.955,-0.3291
28.527,-0.7854,-0.5898,-0.9366,-0.6861
28.657,-0.7344,-0.67,-0.8973,-0.8058
28.698,-0.7184,-0.6977,-0.8815,-0.8348
28.913,-0.6314,-0.8529,-0.764,-0.9456
29.133,-0.5289,-0.977,-0.571,-1.0091
29.171,-0.5042,-0.9905,-0.5272,-1.0169
29.264,-0.3438,-1.0124,-0.3943,-1.0326
29.264,-0.343,-1.0124,-0.3933,-1.0327
29.31,-0.2896,-1.0186,-0.1187,-1.0389
29.573,-0.0377,-1.0157,0.3237,-1.0566
29.656,0.0416,-1.0064,0.1374,-1.055
29.657,0.0427,-1.0063,0.1378,-1.055
29.731,0.1226,-0.9968,0.1966,-1.0494
29.817,0.2652,-0.9856,0.2967,-1.0353
29.831,0.2981,-0.9837,0.3152,-1.0316
29.948,0.5976,-0.9639,0.4813,-0.7853
29.964,0.6506,-0.9604,0.5051,-0.7104
30.05,0.8979,-0.9345,0.6506,-0.5776
30.096,0.9391,-0.9137,0.7475,-0.5239
30.12,0.9529,-0.9006,0.8054,-0.4979
30.168,0.974,-0.8669,0.9032,-0.4455
30.226,0.991,-0.8103,0.9455,-0.3832
30.338,1.008,-0.5801,0.9782,-0.265
30.43,1.0103,-0.0416,0.9922,-0.1713
30.571,0.9969,0.217,1.003,-0.0339
30.743,0.9538,0.4053,1.0033,0.1223
30.777,0.9427,0.4348,1.0017,0.1507
30.91,0.8931,0.5354,0.99,0.2534
31.129,0.8046,0.6643,0.9452,0.4101
31.211,0.7729,0.7069,0.9099,0.4905
31.216,0.7712,0.7091,0.9072,0.4962
31.386,0.7066,0.7913,0.7085,0.8285
31.387,0.706,0.7919,0.7075,0.8303
31.6,0.5995,0.8942,0.5858,0.9469
31.647,0.5628,0.92,0.5603,0.9568
31.648,0.5615,0.9209,0.5594,0.9571
31.777,0.3976,1.1343,0.4753,0.9778
31.813,0.3367,1.1374,0.4406,0.9826
31.814,0.3349,1.1375,0.4393,0.9828
31.821,0.3228,1.138,0.4299,0.9837
31.897,0.2242,1.1418,0.1637,0.9928
31.983,0.1573,1.1429,0.1086,1.0013
32.282,-0.0588,1.1215,-0.0799,1.0079
32.325,-0.1055,1.1147,-0.1403,1.0034
32.423,-0.225,1.0951,-0.3866,0.9778
32.45,-0.2605,1.0884,-0.4837,0.9611
32.452,-0.263,1.0879,-0.4844,0.9595
32.533,-0.3726,1.0641,-0.7273,0.6957
32.548,-0.3933,1.059,-0.7566,0.6701
32.724,-0.634,0.9779,-0.8994,0.5421
32.75,-0.4449,0.9616,-0.9077,0.5295
32.752,-0.4452,0.96,-0.9084,0.5284
33.005,-0.5895,0.6891,-0.9452,0.4105
33.062,-0.6277,0.5843,-0.948,0.3817
33.148,-0.6835,0.3305,-0.9502,0.3351
33.275,-0.7609,0.0997,-0.9504,0.2575
33.48,-0.8618,0.0015,-0.9443,0.1023
33.575,-0.8923,-0.0443,-0.9387,-0.0028
33.615,-0.9015,-0.0639,-0.9359,-0.2656
