x,Curve1,Curve2,Curve3,Curve4
27.1018,-0.3135,1.1048,0.9299,-0.3189
27.1107,-0.3246,1.104,0.9344,-0.3126
27.2141,-0.5015,1.0875,0.981,-0.24
27.3112,-0.6043,1.0524,1.0053,-0.1712
27.3645,-0.6389,1.0198,1.0095,-0.1312
27.4131,-0.6665,0.9778,1.0086,-0.09
27.4705,-0.6961,0.9082,1.0028,-0.0173
27.505,-0.7127,0.8575,0.9973,0.0408
27.6136,-0.7604,0.7145,0.9714,0.1811
27.7298,-0.8045,0.6166,0.9279,0.3274
27.8394,-0.8387,0.5506,0.865,0.4783
27.8416,-0.8393,0.5495,0.8633,0.4814
27.9083,-0.8555,0.5266,0.8054,0.5651
27.9545,-0.8639,0.5145,0.7543,0.614
27.9837,-0.8678,0.4993,0.7185,0.6408
28.1251,-0.8714,0.3155,0.5494,0.7465
28.1554,-0.8694,0.277,0.521,0.7663
28.2648,-0.8618,0.1463,0.4341,0.8361
28.3335,-0.8629,0.0694,0.3855,0.8795
28.4956,-0.8906,-0.0959,0.2696,0.9634
28.6123,-0.9193,-0.1964,0.1655,0.9953
28.6605,-0.9305,-0.231,0.1161,1.0007
28.731,-0.942,-0.2735,0.0416,1.001
28.7811,-0.9393,-0.2983,-0.0101,0.9969
28.9006,-0.8704,-0.3447,-0.1253,0.9752
28.9821,-0.8443,-0.3758,-0.2029,0.9522
29.0951,-0.8142,-0.4387,-0.3185,0.909
29.1433,-0.7985,-0.4753,-0.375,0.8858
29.2117,-0.7702,-0.5423,-0.4666,0.8449
29.2387,-0.7564,-0.5767,-0.5068,0.8253
29.2955,-0.7224,-0.6754,-0.5982,0.7758
29.3822,-0.6605,-0.8276,-0.7269,0.6829
29.4,-0.6467,-0.8486,-0.7467,0.6634
29.4671,-0.5931,-0.91,-0.8062,0.5933
29.5502,-0.5266,-0.9648,-0.8609,0.5104
29.6386,-0.4589,-1.007,-0.9061,0.4232
29.6855,-0.4212,-1.0237,-0.9259,0.3765
29.8598,-0.2186,-1.0653,-0.9774,0.197
29.8652,-0.2091,-1.0664,-0.9784,0.1914
29.9226,-0.0903,-1.0788,-0.988,0.132
29.9711,0.0256,-1.0902,-0.9937,0.0825
30.1112,0.3046,-1.1011,-0.9989,-0.0576
30.2566,0.4514,-1.0469,-0.9833,-0.2044
30.2625,0.4557,-1.0432,-0.982,-0.2107
30.3187,0.4932,-1.0029,-0.9643,-0.2716
30.4496,0.5625,-0.8839,-0.8007,-0.4191
30.4566,0.5659,-0.8768,-0.79,-0.4268
30.4872,0.581,-0.845,-0.7494,-0.4598
30.6472,0.6842,-0.661,-0.5979,-0.628
30.6847,0.7115,-0.6133,-0.5663,-0.6673
30.7422,0.752,-0.5361,-0.5185,-0.728
30.8816,0.8398,-0.401,-0.3983,-0.8639
30.9099,0.8555,-0.384,-0.3717,-0.8851
31.0841,0.9346,-0.2885,-0.1916,-0.9647
31.1272,0.9492,-0.2641,-0.1502,-0.9741
31.1913,0.9671,-0.226,-0.0974,-0.9831
31.5025,1.0097,0.0028,0.0951,-0.9692
31.5582,1.0121,0.0545,0.1389,-0.9581
31.7074,1.0135,0.2096,0.3166,-0.9149
31.7221,1.0134,0.226,0.3375,-0.9095
31.8111,1.0115,0.3291,0.4542,-0.8721
32.0345,0.9344,0.6081,0.6671,-0.7423
32.0645,0.9128,0.6467,0.705,-0.7205
32.1211,0.8693,0.7193,0.8161,-0.6759
32.2329,0.7799,0.8564,0.9343,-0.5689
32.2435,0.7715,0.8685,0.9389,-0.5568
32.4396,0.6231,1.0299,0.9781,-0.2271
32.4873,0.5899,1.0488,0.9807,-0.1737
32.519,0.5685,1.0582,0.9815,-0.1446
32.7146,0.4457,1.0889,0.9699,0.004
32.7214,0.4416,1.0897,0.9689,0.0093
32.8553,0.36,1.1132,0.9386,0.131
32.9466,0.3019,1.2051,0.9025,0.2314
32.9963,0.2677,1.2278,0.8775,0.2878
33.0842,0.1935,1.2425,0.8263,0.3884
33.0887,0.1883,1.2429,0.8235,0.3936
33.1187,-0.0483,1.2452,0.8049,0.4281
33.1716,-0.1051,1.2476,0.771,0.4893
33.3931,-0.2628,1.2347,0.6123,0.7417
33.4247,-0.2839,1.2158,0.5865,0.7759
33.4546,-0.3041,1.1242,0.5609,0.8077
33.4791,-0.3212,1.0985,0.5388,0.8331
33.5177,-0.3496,1.0666,0.5022,0.8713
33.7401,-0.5338,0.917,0.2668,1.0204
33.7458,-0.5361,0.9133,0.261,1.0222
33.7631,-0.5424,0.9019,0.2435,1.0267
33.992,-0.5988,0.7326,0.0131,1.0034
34.0257,-0.6067,0.6993,-0.0273,0.9926
34.1605,-0.6465,0.4906,-0.2364,0.9476
34.1719,-0.651,0.4736,-0.2525,0.9441
34.1924,-0.6598,0.4529,-0.2792,0.938
34.1976,-0.6622,0.4495,-0.2854,0.9365
34.426,-0.8089,0.4033,-0.5078,0.8675
34.4566,-0.8232,0.3909,-0.5497,0.8553
34.4764,-0.8307,0.3811,-0.5825,0.8467
34.5694,-0.855,0.3196,-0.7372,0.795
34.5869,-0.8585,0.3058,-0.7581,0.7825
34.7973,-0.9022,0.1175,-0.9,0.5537
34.9013,-0.955,0.0248,-0.9355,0.4239
34.9042,-0.9566,0.0225,-0.9363,0.4208
34.911,-0.9604,0.0168,-0.9381,0.4134
35.0247,-0.9884,-0.0706,-0.9634,0.3128
35.1864,-0.9434,-0.1791,-0.9847,0.1943
35.303,-0.8957,-0.2573,-0.9908,0.0874
35.3923,-0.8595,-0.3247,-0.9897,-0.0181
35.4437,-0.8409,-0.3664,-0.9864,-0.0997
35.5349,-0.8116,-0.4436,-0.9743,-0.3362
35.559,-0.8045,-0.4642,-0.9694,-0.3722
35.6452,-0.7788,-0.5371,-0.9446,-0.454
35.7035,-0.7593,-0.5847,-0.9203,-0.4974
35.8441,-0.6885,-0.6961,-0.8324,-0.6017
35.9303,-0.6243,-0.7639,-0.7595,-0.6827
35.9873,-0.5755,-0.8097,-0.7077,-0.7418
36.0138,-0.5516,-0.8314,-0.6833,-0.7686
36.101,-0.4694,-0.8961,-0.6036,-0.8456
36.212,-0.3596,-0.9357,-0.5087,-0.9179
36.2717,-0.2991,-0.9389,-0.4627,-0.9472
36.4642,-0.1002,-0.9107,-0.2774,-1.0006
36.4935,-0.0698,-0.9038,-0.2365,-1.0032
36.499,-0.0642,-0.9024,-0.2283,-1.0035
36.6333,0.0359,-0.8639,0.0053,-0.9952
36.7245,0.0864,-0.8316,0.1655,-0.9743
36.8017,0.1319,-0.7977,0.2795,-0.948
36.9438,0.2292,-0.7535,0.4251,-0.8793
36.9508,0.2353,-0.7528,0.4309,-0.8752
36.9516,0.2361,-0.7528,0.4316,-0.8747
37.085,0.3009,-0.7494,0.5311,-0.7836
37.1398,0.2883,-0.7496,0.5732,-0.7396
37.3181,0.2443,-0.7478,0.7425,-0.581
37.3476,0.238,-0.7459,0.7684,-0.5543
37.4215,0.2255,-0.7357,0.824,-0.4879
37.4825,0.2218,-0.7226,0.8608,-0.4334
37.5742,0.2588,-0.7173,0.9062,-0.3511
37.6279,0.3387,-0.7268,0.9285,-0.3016
37.6515,0.3722,-0.7326,0.9373,-0.279
37.7968,0.5104,-0.7824,0.9798,-0.1296
37.8456,0.5515,-0.8043,0.9886,-0.0815
37.8583,0.5627,-0.8107,0.9903,-0.069
37.8768,0.58,-0.8204,0.9923,-0.0507
37.9896,0.6731,-0.8406,0.9886,0.0643
38.1063,0.6941,-0.7795,0.9515,0.1999
38.1132,0.6951,-0.775,0.9483,0.2091
38.1863,0.7057,-0.724,0.9096,0.3169
38.3293,0.7303,-0.6172,0.8184,0.5137
